Country,Density(P/Km2),Urban population,Population,Armed Forces,GDP,Minimum wage,Labor force participation(%),Unemployment rate,Tax revenue(%),Total tax rate,CPI,CPI Change(%),Doctors/1000,Self-paid Health,Birth Rate,Fertility Rate,Life expectancy,Infant mortality,Maternal mortality ratio,Co2-Emissions,Land Area(Km2),Forested Area(%),Agricultural Land(%),Gasoline Price,Primary educ. enr.(%),Tertiary educ. enr.(%)
Germany,240.0,64324835.0,83132799.0,180000.0,3845630030824.0,9.99,60.8,3.04,11.5,48.8,112.85,1.4,4.25,12.5,9.5,1.56,80.9,3.1,7.0,727973.0,357022.0,32.7,47.7,1.39,104.0,70.2
Ghana,137.0,17249054.0,30792608.0,16000.0,66983634224.0,0.27,67.8,4.33,12.6,55.4,268.36,7.2,0.14,36.1,29.41,3.87,63.8,34.9,308.0,16670.0,238533.0,41.2,69.0,0.92,104.8,15.7
Greece,81.0,8507474.0,10716322.0,146000.0,209852761469.0,4.46,51.8,17.24,26.2,51.9,101.87,0.2,5.48,35.5,8.1,1.35,81.3,3.6,3.0,62434.0,131957.0,31.7,47.6,1.54,99.6,136.6
Guatemala,167.0,8540945.0,16604026.0,43000.0,76710385880.0,1.6,62.3,2.46,10.6,35.2,142.92,3.7,0.35,55.8,24.56,2.87,74.1,22.1,95.0,16777.0,108889.0,32.7,36.0,0.79,101.9,21.8
Honduras,89.0,5626433.0,9746117.0,23000.0,25095395475.0,1.01,68.8,5.39,17.3,39.1,150.34,4.4,0.31,49.1,21.6,2.46,75.1,15.1,65.0,9813.0,112090.0,40.0,28.9,0.98,91.5,26.2
Hungary,107.0,6999582.0,9769949.0,40000.0,160967157504.0,2.62,56.5,3.4,23.0,37.9,121.64,3.3,3.41,29.0,9.6,1.54,75.8,3.6,12.0,45537.0,93028.0,22.9,58.4,1.18,100.8,48.5
India,464.0,471031528.0,1366417754.0,3031000.0,2611000000000.0,0.3,49.3,5.36,11.2,49.7,180.44,7.7,0.86,65.1,17.86,2.22,69.4,29.9,145.0,2407672.0,3287263.0,23.8,60.4,0.97,113.0,28.1
Indonesia,151.0,151509724.0,270203917.0,676000.0,1119190780753.0,0.48,67.5,4.69,10.2,30.1,151.18,3.0,0.43,48.3,18.07,2.31,71.5,21.1,177.0,563325.0,1904569.0,49.9,31.5,0.63,106.4,36.3
Iran,52.0,62509623.0,82913906.0,563000.0,445345282123.0,1.58,44.7,11.38,7.4,44.7,550.93,39.9,1.58,39.7,18.78,2.14,76.5,12.4,16.0,661710.0,1648195.0,6.6,28.2,0.4,110.7,68.1
Iraq,93.0,27783368.0,39309783.0,209000.0,234094042939.0,1.24,43.0,12.82,2.0,30.8,119.86,0.4,0.71,76.5,29.08,3.67,70.5,22.5,79.0,190061.0,438317.0,1.9,21.4,0.61,108.7,16.2
Republic of Ireland,72.0,3133123.0,5007069.0,9000.0,388698711348.0,10.79,62.1,4.93,18.3,26.1,106.58,0.9,3.31,15.2,12.5,1.75,82.3,3.1,5.0,37711.0,70273.0,11.0,64.5,1.37,100.9,77.8
Israel,400.0,8374393.0,9053300.0,178000.0,395098666122.0,7.58,64.0,3.86,23.1,25.3,108.15,0.8,4.62,24.4,20.8,3.09,82.8,3.0,3.0,65166.0,20770.0,7.7,24.6,1.57,104.9,63.4
Jamaica,273.0,1650594.0,2948279.0,4000.0,16458071068.0,1.33,66.0,8.0,26.8,35.1,162.47,3.9,1.31,23.7,16.1,1.98,74.4,12.4,80.0,8225.0,10991.0,30.9,41.0,1.11,91.0,27.1
Japan,347.0,115782416.0,126226568.0,261000.0,5081769542380.0,6.77,61.7,2.29,11.9,46.7,105.48,0.5,2.41,13.1,7.4,1.42,84.2,1.8,5.0,1135886.0,377944.0,68.5,12.3,1.06,98.8,63.2
Jordan,115.0,9213048.0,10101694.0,116000.0,43743661972.0,1.49,39.3,14.72,15.1,28.6,125.6,0.8,2.32,25.1,21.98,2.76,74.4,13.9,46.0,25108.0,89342.0,1.1,12.0,1.1,81.5,34.4
